Instancia,Seed,Solucao Inicial,Melhor Solucao,Tempo Total (s),Limite Tempo (s)
01.txt,3,1026198.0,1027903.0,3.86,5
01.txt,4,1026198.0,1027188.0,3.85,5
01.txt,5,1026198.0,1027808.0,3.79,5
01.txt,6,1026198.0,1027678.0,3.83,5
01.txt,7,1026198.0,1027708.0,3.8,5
01.txt,3,1026198.0,1027903.0,3.86,300
01.txt,4,1026198.0,1027188.0,3.88,300
01.txt,5,1026198.0,1027808.0,3.81,300
01.txt,6,1026198.0,1027678.0,3.83,300
01.txt,7,1026198.0,1027708.0,3.78,300
02.txt,3,11862977.0,11864577.0,3.9,5
02.txt,4,11862977.0,11864497.0,3.89,5
02.txt,5,11862977.0,11864482.0,3.87,5
02.txt,6,11862977.0,11864142.0,4.09,5
02.txt,7,11862977.0,11864497.0,3.87,5
02.txt,3,11862977.0,11864577.0,3.92,300
02.txt,4,11862977.0,11864497.0,3.91,300
02.txt,5,11862977.0,11864482.0,3.85,300
02.txt,6,11862977.0,11864142.0,3.96,300
02.txt,7,11862977.0,11864497.0,3.94,300
03.txt,3,45184792.0,45186687.0,5.01,5
03.txt,4,45184792.0,45186617.0,5.0,5
03.txt,5,45184792.0,45186687.0,5.0,5
03.txt,6,45184792.0,45186687.0,5.0,5
03.txt,7,45184792.0,45186687.0,5.0,5
03.txt,3,45184792.0,45186687.0,7.57,300
03.txt,4,45184792.0,45186617.0,7.59,300
03.txt,5,45184792.0,45186687.0,7.55,300
03.txt,6,45184792.0,45186687.0,7.61,300
03.txt,7,45184792.0,45186687.0,7.59,300
04.txt,3,34032872.0,34039507.0,5.01,5
04.txt,4,34032872.0,34039407.0,5.01,5
04.txt,5,34032872.0,34039607.0,5.0,5
04.txt,6,34032872.0,34039552.0,5.0,5
04.txt,7,34032872.0,34039627.0,5.01,5
04.txt,3,34032872.0,34039507.0,7.84,300
04.txt,4,34032872.0,34039407.0,7.76,300
04.txt,5,34032872.0,34039607.0,7.8,300
04.txt,6,34032872.0,34039552.0,7.85,300
04.txt,7,34032872.0,34039627.0,7.92,300
05.txt,3,8159825.0,8162240.0,5.02,5
05.txt,4,8159825.0,8162080.0,5.02,5
05.txt,5,8159825.0,8161995.0,5.0,5
05.txt,6,8159825.0,8162420.0,5.02,5
05.txt,7,8159825.0,8161995.0,5.01,5
05.txt,3,8159825.0,8162810.0,30.76,300
05.txt,4,8159825.0,8162640.0,29.95,300
05.txt,5,8159825.0,8162705.0,29.19,300
05.txt,6,8159825.0,8162895.0,29.42,300
05.txt,7,8159825.0,8162700.0,29.11,300
06.txt,3,29512626.0,29513436.0,5.01,5
06.txt,4,29512626.0,29513626.0,5.01,5
06.txt,5,29512626.0,29514101.0,5.01,5
06.txt,6,29512626.0,29513386.0,5.01,5
06.txt,7,29512626.0,29514031.0,5.02,5
06.txt,3,29512626.0,29514421.0,30.39,300
06.txt,4,29512626.0,29514541.0,30.71,300
06.txt,5,29512626.0,29514561.0,30.29,300
06.txt,6,29512626.0,29514566.0,30.57,300
06.txt,7,29512626.0,29514571.0,30.68,300
07.txt,3,204738248.0,204869998.0,3.88,5
07.txt,4,204738248.0,204867243.0,3.9,5
07.txt,5,204738248.0,204867243.0,3.94,5
07.txt,6,204738248.0,204867243.0,4.0,5
07.txt,7,204738248.0,204867243.0,3.95,5
07.txt,3,204738248.0,204869998.0,3.9,300
07.txt,4,204738248.0,204867243.0,3.94,300
07.txt,5,204738248.0,204867243.0,3.95,300
07.txt,6,204738248.0,204867243.0,3.99,300
07.txt,7,204738248.0,204867243.0,3.94,300
08.txt,3,41947229.0,42213319.0,3.89,5
08.txt,4,41947229.0,42214009.0,3.9,5
08.txt,5,41947229.0,42222854.0,3.85,5
08.txt,6,41947229.0,42213434.0,3.91,5
08.txt,7,41947229.0,42214009.0,3.91,5
08.txt,3,41947229.0,42213319.0,3.91,300
08.txt,4,41947229.0,42214009.0,3.88,300
08.txt,5,41947229.0,42222854.0,3.86,300
08.txt,6,41947229.0,42213434.0,3.97,300
08.txt,7,41947229.0,42214009.0,4.02,300
09.txt,3,8297000.0,8298310.0,5.01,5
09.txt,4,8297000.0,8298635.0,5.0,5
09.txt,5,8297000.0,8298420.0,5.0,5
09.txt,6,8297000.0,8298500.0,5.0,5
09.txt,7,8297000.0,8298580.0,5.0,5
09.txt,3,8297000.0,8298340.0,15.14,300
09.txt,4,8297000.0,8298700.0,14.95,300
09.txt,5,8297000.0,8298470.0,14.78,300
09.txt,6,8297000.0,8298515.0,15.18,300
09.txt,7,8297000.0,8298610.0,15.07,300
10.txt,3,47872453.0,47877208.0,5.01,5
10.txt,4,47872453.0,47877223.0,5.0,5
10.txt,5,47872453.0,47877208.0,5.0,5
10.txt,6,47872453.0,47877228.0,5.01,5
10.txt,7,47872453.0,47877158.0,5.01,5
10.txt,3,47872453.0,47877218.0,14.83,300
10.txt,4,47872453.0,47877223.0,14.96,300
10.txt,5,47872453.0,47877218.0,15.02,300
10.txt,6,47872453.0,47877238.0,15.28,300
10.txt,7,47872453.0,47877158.0,15.27,300
